,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,2.0,2.0,4.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,0.9753997101479897,0.9816147967135703,0.9336979560487516,0.024288591116444012,0.02639186554974188
1,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,0.955819325314533,0.968464869990191,0.7813081003709414,0.02142738038840467,0.026120068475100535
2,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,0.9720874426966141,0.976384845712668,0.9014545324949683,0.025056899997511577,0.027258967582832413
3,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,0.9778746716299825,0.981444783827948,0.8675370463800284,0.02210209530615476,0.02554835043708024
4,5.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.9576497000559692,0.9628833843663916,0.9540029285507644,0.023207728851119696,0.02576830945917683
5,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,0.9663206118954579,0.9674738980260907,0.9540978467979302,0.02189522440086103,0.02428414949154439
6,7.0,5.0,8.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,0.9656815692518615,0.9681835284989319,0.9572332071911879,0.02229246480679033,0.024873628134044628
7,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,0.7606554836198469,0.8052995652762953,0.6178761558124861,0.022816817824402237,0.025939579317055345
8,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,0.9771759589052289,0.9811737340767018,0.7031897969021306,0.024509262700886103,0.02552179812942538
9,4.0,7.0,4.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,0.9582978734197046,0.966306265667063,0.901959656024824,0.02444865895537438,0.025953777924387612
